brand,week_start,positive_ratio,neutral_ratio,negative_ratio,total_docs,top_keywords
hanwha,2025-02-24,0.303,0.606,0.091,33,"[""가족이"", ""같아요"", ""제가"", ""가족"", ""직접""]"
hanwha,2025-03-03,0.362,0.517,0.121,58,"[""가족이"", ""같아요"", ""간병인을"", ""간병인이"", ""제가""]"
hanwha,2025-03-10,0.333,0.667,0.0,3,"[""더서클"", ""간병"", ""가족"", ""간병인"", ""한화""]"
hanwha,2025-03-17,0.0,1.0,0.0,1,"[""너무"", ""귀엽고"", ""파이팅"", ""넘치네요"", ""나도""]"
hanwha,2025-03-31,0.126,0.444,0.43,135,"[""봉인하고"", ""싶어요"", ""저는"", ""너무"", ""싶습니다""]"
hanwha,2025-04-07,0.0,1.0,0.0,2,"[""더서클"", ""남성질환"", ""건강"", ""가족"", ""한화""]"
hanwha,2025-04-21,0.5,0.5,0.0,2,"[""엘레발은"", ""꼴뵈기"", ""싫은데"", ""한화는"", ""응원하게""]"
hanwha,2025-04-28,0.6,0.4,0.0,35,"[""시그니처"", ""끝까지"", ""한화생명"", ""처음부터"", ""특별한""]"
hanwha,2025-05-05,0.679,0.321,0.0,28,"[""시그니처"", ""한화생명"", ""끝까지"", ""처음부터"", ""처음""]"
hanwha,2025-05-26,0.386,0.579,0.035,57,"[""챌린지"", ""싶습니다"", ""시그니처"", ""부문"", ""통해""]"
hanwha,2025-06-02,1.0,0.0,0.0,2,"[""운동"", ""진짜"", ""많이"", ""같네요"", ""영상""]"
hanwha,2025-06-30,0.5,0.5,0.0,2,"[""심장이"", ""앉아"", ""있다"", ""스트레칭"", ""하면""]"
hanwha,2025-07-21,0.452,0.548,0.0,62,"[""한화이글스"", ""이글스"", ""한화"", ""정말"", ""화이팅""]"
hanwha,2025-07-28,0.615,0.385,0.0,13,"[""끝까지"", ""한화이글스"", ""정말"", ""진짜"", ""말고""]"
hanwha,2025-08-11,0.2,0.8,0.0,20,"[""말차"", ""너무"", ""말차에"", ""제임스"", ""계속""]"
hanwha,2025-08-18,0.429,0.571,0.0,7,"[""말차"", ""봤습니다"", ""추천해주신"", ""안티로펜"", ""장사꾼들이""]"
hanwha,2025-09-15,0.333,0.667,0.0,3,"[""빠르게"", ""행복합니다"", ""발전으로"", ""질병을"", ""치료할""]"
hanwha,2025-09-22,0.583,0.417,0.0,24,"[""한화생명"", ""스포츠"", ""원정대"", ""너무"", ""화이팅""]"
hanwha,2025-09-29,0.931,0.069,0.0,58,"[""한화생명"", ""원정대"", ""스포츠"", ""응원합니다"", ""멋진""]"
hanwha,2025-10-13,0.268,0.732,0.0,41,"[""한화생명"", ""너무"", ""원정대"", ""화이팅"", ""스포츠""]"
hanwha,2025-10-20,0.538,0.462,0.0,13,"[""같아요"", ""현지"", ""한화생명"", ""팬들과"", ""콘텐츠도""]"
hanwha,2025-10-27,0.0,1.0,0.0,4,"[""파이팅"", ""친구"", ""캡틴잭"", ""한화생명"", ""스포츠""]"
hanwha,2025-11-03,0.0,1.0,0.0,1,"[""창원"", ""파크"", ""이런데도"", ""있지"", ""않나요""]"
hanwha,2025-11-10,0.0,1.0,0.0,1,"[""여기다가"", ""코딩"", ""좋아하시는"", ""분들인"", ""이과분들이""]"
hanwha,2025-12-01,0.0,1.0,0.0,3,"[""지원하기"", ""채널이"", ""한화생명이였네"", ""혹시"", ""두산""]"
hanwha,2025-12-08,0.5,0.5,0.0,4,"[""응원하겠습니다"", ""행복합니다"", ""좋은"", ""감사합니다"", ""더욱""]"
hanwha,2025-12-15,0.0,1.0,0.0,3,"[""화이팅"", ""생명"", ""한화생명"", ""제카제구딜"", ""저도요""]"
hanwha,2025-12-22,0.39,0.576,0.034,59,"[""한화이글스"", ""너무"", ""김경문"", ""끝까지"", ""한화""]"
hanwha,2025-12-29,0.091,0.909,0.0,11,"[""비상하라"", ""너무"", ""선수"", ""한화"", ""다시""]"
hanwha,2026-01-05,0.0,1.0,0.0,1,"[""태인아"", ""남을꺼라고"", ""믿는다""]"
